otus	freshwater	soda	soda-saline	saline	tax	type
Otu00216	0	1	1	0	Rubritaleaceae	soda,soda-saline
Otu00218	0	1	1	0	Cyclobacteriaceae	soda,soda-saline
Otu00219	1	0	0	0	alfVIII	freshwater
Otu00220	0	1	0	0	Nitriliruptoraceae	soda
Otu00222	1	0	0	0	alfIV	freshwater
Otu00224	1	0	0	0	betIV	freshwater
Otu00225	1	0	0	0	betII	freshwater
Otu00226	1	0	0	0	alfII	freshwater
Otu00234	1	0	0	0	Moraxellaceae	freshwater
Otu00235	1	0	0	0	betIV	freshwater
Otu00236	0	0	0	1	Alteromonadaceae	saline
Otu00241	1	0	0	0	Cyanobiaceae	freshwater
Otu00242	0	1	1	0	Flavobacteriaceae	soda,soda-saline
Otu00246	0	0	0	1	Flavobacteriaceae	saline
Otu00247	0	0	0	1	alfVI	saline
Otu00250	0	0	0	1	unclassified	saline
Otu00251	0	0	0	1	Flavobacteriaceae	saline
Otu00252	0	0	0	1	Saccharospirillaceae	saline
Otu00254	0	1	0	0	Nitriliruptoraceae	soda
Otu00255	0	1	0	0	Cyclobacteriaceae	soda
Otu00259	0	0	1	0	acTH2	soda-saline
Otu00270	1	0	0	0	Cyanobiaceae	freshwater
Otu00278	0	1	1	0	Burkholderiaceae	soda,soda-saline
Otu00279	0	1	1	0	Pseudohongiellaceae	soda,soda-saline
Otu00280	1	0	1	0	Sphingomonadaceae	freshwater,soda-saline
Otu00281	0	1	1	0	Saccharimonadales_fa	soda,soda-saline
Otu00284	0	1	1	0	Saprospiraceae	soda,soda-saline
Otu00289	0	1	0	0	Cyanobiaceae	soda
Otu00291	0	0	0	1	Methylophagaceae	saline
Otu00298	0	1	0	0	Flavobacteriaceae	soda
Otu00299	0	0	1	0	Saprospiraceae	soda-saline
Otu00305	1	0	0	0	acI	freshwater
Otu00308	0	0	0	1	Balneolaceae	saline
Otu00309	1	0	0	0	acIV	freshwater
Otu00310	1	0	0	0	alfVII	freshwater
Otu00311	0	1	1	0	Nitriliruptoraceae	soda,soda-saline
Otu00313	0	0	1	0	unclassified	soda-saline
Otu00314	0	1	1	0	Balneolaceae	soda,soda-saline
Otu00315	0	0	1	0	KI89A_clade	soda-saline
Otu00316	0	1	0	0	Ilumatobacteraceae	soda
Otu00318	0	1	1	0	Rhodobacteraceae	soda,soda-saline
Otu00320	1	0	0	0	unclassified	freshwater
Otu00321	1	0	0	0	betI	freshwater
Otu00323	0	0	0	1	Litoricolaceae	saline
Otu00326	1	0	0	0	betI	freshwater
Otu00327	0	0	0	1	Peptostreptococcaceae	saline
Otu00330	0	1	1	0	Acetobacteraceae	soda,soda-saline
Otu00336	0	0	0	1	Alteromonadaceae	saline
Otu00337	0	0	1	0	Gemmatimonadaceae	soda-saline
Otu00340	0	0	1	0	Nitriliruptoraceae	soda-saline
Otu00342	0	0	0	1	Balneolaceae	saline
Otu00344	0	1	1	0	Cyclobacteriaceae	soda,soda-saline
Otu00346	1	0	0	0	bacII	freshwater
Otu00348	0	1	0	0	Woeseiaceae	soda
Otu00351	0	0	1	0	Anaerolineaceae	soda-saline
